triangle_key,frequency
BNB|ICX|USDT,73
BNB|IDRT|USDT,11
BNB|INJ|USDT,13
BNB|IOST|USDT,14
BNB|IOTA|USDT,23
BNB|KAVA|USDT,18
BNB|LTC|TUSD,13
BNB|LTC|USDC,8
BNB|LTC|USDT,199
BNB|LUNA|USDT,1
BNB|MATIC|TRY,2
BNB|MATIC|USDT,37
BNB|MBL|USDT,42
BNB|MFT|USDT,35
BNB|MITH|USDT,114
BNB|NEAR|USDT,1
BNB|NEO|USDT,126
BNB|OGN|USDT,228
BNB|ONE|USDT,24
BNB|ONT|USDT,43
BNB|PAX|TRX,4
BNB|PAX|USDT,24
BNB|PAX|XRP,6
BNB|PERL|USDT,72
BNB|RUB|USDT,6
BNB|RUB|XRP,4
BNB|RUNE|USDT,22
BNB|RVN|TRY,3
BNB|RVN|USDT,5
BNB|SAND|USDT,45
BNB|SC|USDT,13
BNB|SOL|TRY,3
BNB|SOL|USDT,1
BNB|SRM|USDT,13
BNB|STX|USDT,13
BNB|SUSHI|USDT,4
BNB|SXP|TRY,1
BNB|SXP|USDT,1
BNB|THETA|USDT,51
BNB|TROY|USDT,130
BNB|TRX|TRY,1
BNB|TRX|TUSD,8
BNB|TRX|USDC,8
BNB|TRX|USDT,4
BNB|TRX|WIN,584
BNB|TRX|XRP,34
BNB|TRY|USDT,20
BNB|TRY|VET,1
BNB|TRY|XRP,55
BNB|TUSD|USDT,49
BNB|TUSD|XRP,17
BNB|USDC|USDT,14
BNB|USDC|WIN,473
BNB|USDC|XRP,18
BNB|USDC|ZEC,5
BNB|USDT|VET,1068
BNB|USDT|WAN,13
BNB|USDT|WAVES,27
BNB|USDT|WIN,22
BNB|USDT|WRX,63
BNB|USDT|WTC,34
BNB|USDT|XLM,9
BNB|USDT|XMR,4
BNB|USDT|XRP,91
BNB|USDT|XTZ,18
BNB|USDT|XVS,21
BNB|USDT|ZEC,12
BNB|USDT|ZEN,16
BNB|USDT|ZIL,30
BNT|BTC|BUSD,12
BNT|BTC|ETH,235
BNT|BTC|USDT,35
BNT|BUSD|ETH,10
BNT|BUSD|USDT,18
BNT|ETH|USDT,30
BQX|BTC|ETH,1066
BRD|BTC|ETH,350
BRL|BTC|BUSD,4
BRL|BTC|DOGE,15
BRL|BTC|DOT,2
BRL|BTC|ETH,6
BRL|BTC|LINK,3
BRL|BTC|USDT,5
BRL|BUSD|DOGE,3
BRL|BUSD|DOT,5
BRL|BUSD|ETH,1
BRL|BUSD|LINK,3
BRL|BUSD|USDT,7
BRL|BUSD|WIN,15
BRL|BUSD|XRP,1
BRL|DOGE|USDT,1
BRL|DOT|USDT,4
BRL|ETH|LINK,1
BRL|ETH|USDT,2
BRL|LINK|USDT,3
BRL|USDT|XRP,1
BTCST|BUSD|USDT,222
BTC|BTCST|BUSD,38
BTC|BTCST|USDT,21
BTC|BTG|ETH,769
BTC|BTG|USDT,44
BTC|BTS|ETH,527
BTC|BTS|USDT,2544
BTC|BUSD|CELR,568
BTC|BUSD|COMP,11
BTC|BUSD|CRV,15
BTC|BUSD|CTK,19
BTC|BUSD|CTSI,82
BTC|BUSD|DAI,7
BTC|BUSD|DASH,2
BTC|BUSD|DATA,242
BTC|BUSD|DGB,1577
BTC|BUSD|DIA,47
BTC|BUSD|DOGE,505
BTC|BUSD|DOT,5
BTC|BUSD|ENJ,10
BTC|BUSD|EUR,2
BTC|BUSD|FIL,8
BTC|BUSD|FIO,46
BTC|BUSD|FTM,5
BTC|BUSD|FTT,2
BTC|BUSD|FXS,94
BTC|BUSD|GRT,4
BTC|BUSD|HARD,130
BTC|BUSD|HBAR,33
BTC|BUSD|ICP,4
BTC|BUSD|ICX,8
BTC|BUSD|IDEX,575
BTC|BUSD|INJ,32
BTC|BUSD|IOST,2119
BTC|BUSD|IOTX,629
BTC|BUSD|JST,314
BTC|BUSD|KNC,6
BTC|BUSD|KSM,45
BTC|BUSD|LINK,1
BTC|BUSD|LIT,17
BTC|BUSD|LRC,18
BTC|BUSD|LTC,2
BTC|BUSD|LUNA,5
BTC|BUSD|MANA,5
BTC|BUSD|MATIC,108
BTC|BUSD|NANO,13
BTC|BUSD|NEAR,3
BTC|BUSD|NEO,2
BTC|BUSD|NMR,36
BTC|BUSD|OCEAN,30
BTC|BUSD|OMG,15
BTC|BUSD|ONE,1197
BTC|BUSD|ONT,15
BTC|BUSD|PSG,89
BTC|BUSD|QTUM,1
BTC|BUSD|ROSE,79
BTC|BUSD|RUB,9
BTC|BUSD|RUNE,99
BTC|BUSD|RVN,367
BTC|BUSD|SAND,25
BTC|BUSD|SKL,13
BTC|BUSD|SNX,3
BTC|BUSD|SOL,22
BTC|BUSD|SRM,2
BTC|BUSD|STRAX,44
BTC|BUSD|SUSHI,4
BTC|BUSD|SXP,3
BTC|BUSD|SYS,432
BTC|BUSD|TOMO,5
BTC|BUSD|TRB,181
BTC|BUSD|TRX,2112
BTC|BUSD|TRY,5
BTC|BUSD|UNFI,99
