triangle_key,2017,2018,2019,2020,2021,2022
AST|BTC|ETH,127,175,33,41,0,0
BNB|BTC|WAVES,45,298,11,11,11,0
BUSD|DEGO|USDT,0,0,0,0,28,344
BUSD|TRB|USDT,0,0,0,71,292,4
BTC|BUSD|RVN,0,0,0,36,231,100
BUSD|HARD|USDT,0,0,0,65,288,12
BTC|USDT|WTC,0,0,0,46,310,7
BCD|BTC|ETH,130,109,80,37,0,0
BRD|BTC|ETH,14,204,21,12,37,62
BTC|ETH|OAX,75,214,47,12,0,0
BTC|CHZ|TRY,0,0,0,0,342,0
BTC|ETH|LOOM,0,49,28,53,172,28
BTC|ELF|ETH,42,142,15,73,51,3
BTC|ETH|MANA,72,156,34,45,15,0
BTC|ETH|ZEC,165,154,0,0,2,0
BTC|BUSD|JST,0,0,0,19,205,90
BNB|ETH|IOTA,144,159,2,0,6,0
BTC|DASH|ETH,187,116,0,0,3,0
BTC|EOS|ETH,296,0,0,0,0,0
BNB|ETH|XLM,143,138,3,1,4,0
AION|BNB|ETH,46,211,19,8,0,0
BNB|BTC|LTC,164,117,1,1,0,0
BTC|ETH|XLM,278,1,0,0,0,0
BTC|ETC|ETH,208,48,0,0,2,0
BTC|ETH|WAVES,98,150,1,3,2,3
BTC|DGD|ETH,47,148,54,7,0,0
BTC|EUR|VET,0,0,0,0,24,231
BUSD|DATA|USDT,0,0,0,22,222,9
ARPA|BNB|BTC,0,0,7,54,186,5
BNB|BTC|MATIC,0,0,192,40,18,0
BNB|ETH|WTC,30,204,11,0,0,0
BNB|ETH|WABI,43,177,25,0,0,0
LINK|TUSD|USDT,0,0,126,32,86,0
BTC|BUSD|DATA,0,0,0,25,144,73
BTC|ETH|GXS,100,119,16,2,3,0
ARPA|BTC|TRY,0,0,0,0,102,136
BTC|BUSD|VIDT,0,0,0,96,129,11
BTC|ETH|PIVX,0,97,22,7,109,0
BNT|BTC|ETH,90,91,11,28,13,2
BTC|NKN|USDT,0,0,9,66,152,6
BNB|OGN|USDT,0,0,0,16,206,6
BAT|BNB|BTC,30,183,5,0,6,0
BTCST|BUSD|USDT,0,0,0,0,203,19
BUSD|PSG|USDT,0,0,0,12,194,15
BNB|BTC|EOS,0,13,0,1,204,0
BNB|COCOS|USDT,0,0,29,50,123,14
BTC|RVN|TRY,0,0,0,0,86,129
BNB|BTC|WAN,0,153,50,5,5,0
BTT|USDC|USDT,0,0,92,23,97,0
BNB|BTC|RVN,0,69,31,45,65,0
BNB|BTC|USDT,193,8,0,0,0,0
BNB|LTC|USDT,86,113,0,0,0,0
BUSD|UNFI|USDT,0,0,0,75,117,5
