triangle_key,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
BTC|BUSD|CELR,19,15,61,33,68,58,63,125,57,12,19,38
BTC|ETH|IOTA,26,6,8,0,4,0,1,5,18,83,350,66
BTC|ETH|LEND,84,18,16,29,38,72,28,43,56,54,11,117
BTC|ETH|XMR,193,17,2,1,1,0,3,6,9,2,82,248
BNB|BTC|IOST,63,30,47,47,50,40,38,32,29,51,119,17
ARK|BTC|ETH,205,20,19,15,12,6,9,7,16,9,63,179
AION|ETH|USDT,71,132,52,43,71,37,41,86,4,4,10,8
BTC|ETH|POE,29,39,24,2,29,49,49,54,43,50,62,122
AION|BNB|BTC,213,41,58,33,31,12,14,16,11,40,13,68
BTC|DATA|USDT,54,51,59,45,124,71,43,22,19,18,9,25
BTC|DLT|ETH,205,25,20,30,36,12,3,12,84,18,45,44
BNB|BTC|WTC,169,61,65,30,27,10,25,33,27,11,34,40
BTC|ETH|PPT,140,68,43,41,32,29,17,25,21,7,21,85
BTC|BTS|ETH,177,21,29,16,16,3,12,6,6,4,50,187
BTC|ETH|REQ,81,17,25,24,18,24,14,26,18,29,137,113
BTC|BUSD|ZIL,82,48,56,1,14,14,14,8,16,63,97,103
BEAM|BTC|USDT,79,199,109,19,12,11,8,2,12,18,9,37
BTC|ETH|STRAT,176,14,18,25,9,2,4,7,5,27,46,181
BTC|ETH|NAS,43,63,82,29,43,24,21,33,13,55,63,38
BTC|BUSD|DOGE,208,6,102,52,0,0,1,7,9,3,57,60
BTC|ETH|ZRX,174,25,39,20,4,0,2,4,22,47,57,108
BTC|DNT|ETH,200,18,22,14,7,5,4,9,10,66,54,92
BTC|TRX|USDC,52,79,124,66,26,16,55,22,14,10,12,19
BTC|ETH|NEBL,140,52,51,31,16,31,13,26,14,15,15,88
BTC|ETH|EVX,192,31,19,19,20,10,23,21,4,44,42,52
BTC|TRX|XRP,62,62,108,61,66,6,11,21,12,23,11,34
BNB|USDC|WIN,18,14,24,28,82,110,98,49,17,0,7,26
BTC|ETH|STORJ,158,21,32,28,12,4,2,16,8,7,102,62
BCC|BTC|USDT,12,2,0,0,1,0,0,0,0,0,422,13
ADX|BTC|ETH,97,24,49,83,49,5,26,24,12,6,10,60
BAT|BTC|ETH,246,35,23,18,10,5,0,5,6,1,15,78
BTC|ETH|GTO,176,11,28,25,38,12,12,9,8,1,4,116
